"","name","latitude","longitude","start.station.id"
"105","E 20 St & Park Ave",40.73827428,-73.98751968,503
"106","E 31 St & 3 Ave",40.74394314,-73.97966069,476
"107","Clinton St & Grand St",40.71559509,-73.9870295,350
"108","Allen St & Rivington St",40.72019576,-73.98997825,401
"109","W 52 St & 5 Ave",40.75992262,-73.97648516,520
"110","E 2 St & 2 Ave",40.72502876,-73.99069656,403
"111","E 39 St & 3 Ave",40.7489006,-73.97604882,167
"112","1 Ave & E 78 St",40.77140426,-73.9535166,3140
"113","Mercer St & Spring St",40.72362738,-73.99949601,303
"114","W 43 St & 10 Ave",40.76009437,-73.99461843,515
"115","W Broadway & Spring Street",40.72494672,-74.00165856,3467
"116","E 6 St & Avenue B",40.72453734,-73.98185424,317
"117","Amsterdam Ave & W 73 St",40.77966809,-73.98093045,3167
"118","Allen St & Hester St",40.71605866,-73.99190759,361
"119","6 Ave & Broome St",40.72430832,-74.00473036,3746
"120","5 Ave & E 88 St",40.78307,-73.95939,3282
"121","Pershing Square South",40.751581,-73.97791,517
"122","W 13 St & 5 Ave",40.735445,-73.99431,3708
"123","W 42 St & 8 Ave",40.7575699,-73.99098507,529
"124","E 9 St & Avenue C",40.72521311,-73.97768752,394
"125","W 49 St & 8 Ave",40.76227205,-73.98788205,450
"126","Greenwich Ave & Charles St",40.735238,-74.000271,383
"127","W 45 St & 8 Ave",40.75929124,-73.98859651,2021
"128","W 47 St & 10 Ave",40.76269882,-73.99301222,495
"129","W 11 St & 6 Ave",40.73532427,-73.99800419,254
"130","LaGuardia Pl & W 3 St",40.72917025,-73.99810231,161
"131","Sullivan St & Washington Sq",40.73047747,-73.99906065,336
"132","1 Ave & E 62 St",40.7612274,-73.96094022,3142
"133","W 15 St & 10 Ave",40.74275383,-74.00747359,3472
"134","E 58 St & 3 Ave",40.76095756,-73.96724467,305
"135","E 11 St & 2 Ave",40.73047309,-73.98672378,237
"136","Broadway & Battery Pl",40.70463334,-74.01361706,304
"137","Lispenard St & Broadway",40.71939226,-74.00247214,257
"138","W 46 St & 11 Ave",40.76341379,-73.99667444,508
"139","W 52 St & 11 Ave",40.76727216,-73.99392888,72
"140","Watts St & Greenwich St",40.72405549,-74.00965965,328
"141","Kent Ave & N 7 St",40.72036775,-73.96165073,3016
"142","Stanton St & Chrystie St",40.72229346,-73.99147535,265
"143","E 12 St & 3 Ave",40.73223272,-73.98889957,483
"144","W 37 St & 10 Ave",40.75660359,-73.9979009,448
"145","E 30 St & Park Ave S",40.74444921,-73.98303529,546
"146","Metropolitan Ave & Bedford Ave",40.71534825,-73.96024116,539
"147","S 5 Pl & S 5 St",40.710451,-73.960876,532
"148","E 11 St & Avenue B",40.72746421,-73.97950418,3718
"149","W 63 St & Broadway",40.77163851,-73.98261428,3158
"150","W 43 St & 6 Ave",40.75527307,-73.98316936,524
"151","W 42 St & Dyer Ave",40.75898481,-73.99379969,3236
"152","W 37 St & 5 Ave",40.75038009,-73.98338988,485
"153","Bank St & Hudson St",40.73652889,-74.00618026,346
"154","Howard St & Centre St",40.71910537,-73.99973337,268
"155","Norfolk St & Broome St",40.7172274,-73.98802084,311
"156","Murray St & Greenwich St",40.71485151,-74.01122332,3461
"157","Fulton St & Broadway",40.711066,-74.009447,319
"158","N 6 St & Bedford Ave",40.71745169,-73.95850939,3093
"159","Broadway & W 38 St",40.75299641,-73.98721619,533
"160","Central Park W & W 96 St",40.79127,-73.964839,3295
"161","E 19 St & 3 Ave",40.73624527,-73.98473765,325
"162","Bank St & Washington St",40.7361967,-74.00859207,238
"163","Lexington Ave & E 29 St",40.74311555,-73.98215353,540
"164","E 41 St & Madison Ave",40.75216528,-73.97992194,3235
"165","E 52 St & 2 Ave",40.756014,-73.967416,441
"166","Suffolk St & Stanton St",40.72066442,-73.98517977,410
"167","Perry St & Bleecker St",40.73535398,-74.00483091,247
"168","1 Ave & E 30 St",40.74144387,-73.97536082,536
"169","Liberty St & Broadway",40.70905623,-74.01043382,195
"170","9 Ave & W 28 St",40.74937024,-73.99923384,3259
"171","S 4 St & Wythe Ave",40.71285887,-73.96590294,460
"172","W 53 St & 10 Ave",40.76669671,-73.99061728,480
"173","E 27 St & 1 Ave",40.739445,-73.976806,2012
"174","W 67 St & Broadway",40.77492513,-73.98266566,3159
"175","E 16 St & Irving Pl",40.73536706,-73.98797393,3463
"176","MacDougal St & Washington Sq",40.73226398,-73.99852205,252
"177","5 Ave & E 73 St",40.77282817,-73.96685276,3137
"178","Barclay St & Church St",40.71291224,-74.01020234,417
"179","Centre St & Chambers St",40.71273266,-74.0046073,387
"180","University Pl & E 8 St",40.73143724,-73.99490342,3244
"181","W 45 St & 6 Ave",40.7568001,-73.98291153,493
"182","E 55 St & Lexington Ave",40.75968085,-73.97031366,2023
"183","Forsyth St & Canal St",40.7158155,-73.99422366,412
"184","E 25 St & 1 Ave",40.7381765,-73.97738662,174
"185","Peck Slip & Front St",40.707873,-74.00167,279
"186","E 10 St & 5 Ave",40.73331967,-73.99510132,280
"187","Murray St & West St",40.7149787,-74.013012,309
"188","W 44 St & 5 Ave",40.75500254,-73.98014437,484
"189","E 59 St & Madison Ave",40.76350532,-73.97109243,3132
"190","E 12 St & 4 Av",40.73269,-73.98974,3788
"191","Central Park West & W 85 St",40.78472675,-73.96961715,3168
"192","Milton St & Franklin St",40.72906,-73.95779,3112
"193","W 54 St & 9 Ave",40.76584941,-73.98690506,423
"194","E 45 St & 3 Ave",40.75255434,-73.97282625,440
"195","Riverside Blvd & W 67 St",40.77750703,-73.98888588,3173
"196","1 Ave & E 44 St",40.75001986,-73.96905301,455
"197","W 59 St & 10 Ave",40.770513,-73.988038,422
"198","Henry St & Grand St",40.714215,-73.981346,502
"199","Bayard St & Baxter St",40.71602118,-73.99974372,355
"200","E 2 St & Avenue C",40.7208736,-73.98085795,150
"201","Broadway & W 51 St",40.76228826,-73.98336183,500
