"","id","name","latitude","longitude","n"
"94",360,"William St & Pine St",40.70717936,-74.00887308,1033
"95",534,"Water - Whitehall Plaza",40.70255065,-74.0127234,1031
"96",3690,"Park Pl & Church St",40.71334184,-74.00935516,1020
"97",342,"Columbia St & Rivington St",40.71739973,-73.98016555,1014
"98",340,"Madison St & Clinton St",40.71269042,-73.98776323,1001
"99",3674,"Jay St & York St",40.70140317,-73.9867267,999
"100",386,"Centre St & Worth St",40.71494807,-74.00234482,995
"101",224,"Spruce St & Nassau St",40.71146364,-74.00552427,981
"102",3078,"Broadway & Roebling St",40.70924826,-73.96063149,961
"103",276,"Duane St & Greenwich St",40.71748752,-74.0104554,958
"104",471,"Grand St & Havemeyer St",40.71286844,-73.95698119,945
"105",376,"John St & William St",40.70862144,-74.00722156,942
"106",308,"St James Pl & Oliver St",40.71307916,-73.99851193,937
"107",291,"Madison St & Montgomery St",40.713126,-73.984844,904
"108",408,"Market St & Cherry St",40.71076228,-73.99400398,864
"109",249,"Harrison St & Hudson St",40.71870987,-74.0090009,860
"110",3087,"Metropolitan Ave & Meeker Ave",40.71413311,-73.95234386,856
"111",339,"Avenue D & E 12 St",40.72580614,-73.97422494,839
"112",341,"Stanton St & Mangin St",40.71782143,-73.97628939,823
"113",3082,"Hope St & Union Ave",40.71167351,-73.95141312,819
"114",356,"Bialystoker Pl & Delancey St",40.71622644,-73.98261206,813
"115",2000,"Front St & Washington St",40.70255088,-73.98940236,803
"116",3668,"Leonard St & Nassau Ave",40.72395678,-73.94984365,801
"117",3085,"Roebling St & N 4 St",40.71469,-73.95739,793
"118",3453,"Devoe St & Lorimer St",40.71335226,-73.94910336,759
"119",3106,"Driggs Ave & N Henry St",40.72325,-73.94308,751
"120",3100,"Nassau Ave & Newell St",40.72481256,-73.94752622,746
"121",282,"Kent Ave & S 11 St",40.70764494,-73.96841526,745
"122",217,"Old Fulton St",40.70277159,-73.99383605,732
"123",3430,"Richardson St & N Henry St",40.71907891,-73.9422369,712
"124",260,"Broad St & Bridge St",40.70365182,-74.01167797,702
"125",3077,"Stagg St & Union Ave",40.70877084,-73.95095259,685
"126",3081,"Graham Ave & Grand St",40.711863,-73.944024,685
"127",82,"St James Pl & Pearl St",40.71117416,-74.00016545,648
"128",3102,"Driggs Ave & Lorimer St",40.72179134,-73.9504154,622
"129",3076,"Scholes St & Manhattan Ave",40.70870368,-73.9448625,617
"130",248,"Laight St & Hudson St",40.72185379,-74.00771779,589
"131",3109,"Banker St & Meserole Ave",40.72606,-73.95621,577
"132",3693,"N 11 St & Kent Ave",40.72248189,-73.95921931,558
"133",3080,"S 4 St & Rodney St",40.70934,-73.95608,550
"134",3094,"Graham Ave & Withers St",40.7169811,-73.94485918,533
"135",3452,"Bayard St & Leonard St",40.71915572,-73.94885391,511
"136",3454,"Leonard St & Maujer St",40.71036854,-73.94705951,504
"137",414,"Pearl St & Anchorage Pl",40.70281858,-73.98765762,456
"138",3074,"Montrose Ave & Bushwick Ave",40.70767788,-73.94016171,440
"139",3095,"Graham Ave & Herbert St",40.71929301,-73.94500379,409
"140",3105,"N 15 St & Wythe Ave",40.724055,-73.955736,389
"141",418,"Front St & Gold St",40.70224,-73.982578,386
"142",3083,"Bushwick Ave & Powers St",40.71247661,-73.94100005,384
"143",3088,"Union Ave & Jackson St",40.7160751,-73.952029,384
"144",3763,"Wyckoff Av & Jefferson St",40.707165,-73.923711,375
"145",400,"Pitt St & Stanton St",40.71926081,-73.98178024,366
"146",3067,"Broadway & Whipple St",40.7016657,-73.9437303,364
"147",3449,"Eckford St & Engert Ave",40.72146256,-73.94800901,363
"148",3714,"Division Av & Hooper St",40.70684203,-73.9544354,318
"149",3766,"Sharon St & Olive St",40.715353,-73.93856,307
"150",363,"West Thames St",40.70834698,-74.01713445,300
"151",3071,"Boerum St & Broadway",40.70538077,-73.94976519,299
"152",443,"Bedford Ave & S 9 St",40.70853074,-73.96408963,297
"153",3727,"Frost St & Meeker Ave",40.71766197,-73.94880027,278
"154",3790,"Henry St & Middagh St",40.7003,-73.991581,269
"155",3072,"Leonard St & Boerum St",40.70583339,-73.94644578,268
"156",3070,"McKibbin St & Manhattan Ave",40.70510918,-73.94407279,241
"157",3771,"McKibbin St & Bogart St",40.706237,-73.933871,232
"158",3776,"Central Ave & Starr Street",40.700003,-73.92834,223
"159",3760,"Willoughby Ave & Wyckoff Ave",40.705614,-73.92153,222
"160",3065,"Union Ave & Wallabout St",40.70029511,-73.95032283,220
"161",3069,"Lorimer St & Broadway",40.70411791,-73.94818595,218
"162",3456,"Jackson St & Leonard St",40.71638032,-73.94821286,212
"163",3775,"Suydam St & Knickerbocker Ave",40.702013,-73.923769,195
"164",3068,"Humboldt St & Varet St",40.7031724,-73.940636,194
"165",3756,"White St & Moore St",40.704508,-73.9351,194
"166",3770,"Central Ave & Flushing Ave",40.702831,-73.9333,194
"167",3767,"Powers St & Olive St",40.71323,-73.93894,191
"168",3772,"Devoe St & Morgan Ave",40.713811,-73.93515,169
"169",3759,"Irving Ave & Jefferson St",40.70538,-73.92535,163
"170",3075,"Division Ave & Marcy Ave",40.70708701,-73.95796783,152
"171",3757,"Stagg St & Morgan Ave",40.710681,-73.93372,147
"172",3773,"Knickerbocker Ave & Thames St",40.70539,-73.92976,142
"173",216,"Columbia Heights & Cranberry St",40.70037867,-73.99548059,134
"174",3778,"Irving Ave & DeKalb Ave",40.7027,-73.92095,124
"175",3774,"Knickerbocker Ave & George St",40.704425,-73.92836,117
"176",3758,"George St & Wilson Ave",40.702997,-73.92997,113
"177",3764,"Bushwick Ave & McKibbin St",40.705517,-73.93936,111
"178",3768,"Waterbury St & Stagg St",40.71019,-73.93734,108
"179",3765,"Bushwick Ave & Stagg St",40.709897,-73.94008,101
"180",3779,"Hart St & Wyckoff Ave",40.704876,-73.919911,93
"181",3783,"Cliff St & Fulton St",40.70838,-74.00495,83
"182",3769,"White St & Johnson Ave",40.707174,-73.93581,81
"183",2005,"Railroad Ave & Kay Ave",40.70531194,-73.97100056,38
"184",3245,"NYCBS DEPOT - DELANCEY",40.71644423,-73.98233056,1
