"","start_id","start_name","start_latitude","start_longitude","end_id","end_name","end_latitude","end_longitude","n"
"1",426,"West St & Chambers St",40.71754834,-74.01322069,72,"W 52 St & 11 Ave",40.76727216,-73.99392888,60
"2",469,"Broadway & W 53 St",40.76344058,-73.98268129,72,"W 52 St & 11 Ave",40.76727216,-73.99392888,89
"3",173,"Broadway & W 49 St",40.76068327,-73.98452729,72,"W 52 St & 11 Ave",40.76727216,-73.99392888,60
"4",447,"8 Ave & W 52 St",40.76370739,-73.9851615,72,"W 52 St & 11 Ave",40.76727216,-73.99392888,56
"5",514,"12 Ave & W 40 St",40.76087502,-74.00277668,72,"W 52 St & 11 Ave",40.76727216,-73.99392888,59
"6",459,"W 20 St & 11 Ave",40.746745,-74.007756,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,111
"7",358,"Christopher St & Greenwich St",40.73291553,-74.00711384,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,52
"8",497,"E 17 St & Broadway",40.73704984,-73.99009296,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,106
"9",212,"W 16 St & The High Line",40.74334935,-74.00681753,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,95
"10",368,"Carmine St & 6 Ave",40.73038599,-74.00214988,127,"Barrow St & Hudson St",40.73172428,-74.00674436,78
"11",482,"W 15 St & 7 Ave",40.73935542,-73.99931783,127,"Barrow St & Hudson St",40.73172428,-74.00674436,68
"12",426,"West St & Chambers St",40.71754834,-74.01322069,127,"Barrow St & Hudson St",40.73172428,-74.00674436,100
"13",3427,"Lafayette St & Jersey St",40.72430527,-73.99600983,128,"MacDougal St & Prince St",40.72710258,-74.00297088,59
"14",151,"Cleveland Pl & Spring St",40.72210379,-73.99724901,128,"MacDougal St & Prince St",40.72710258,-74.00297088,62
"15",251,"Mott St & Prince St",40.72317958,-73.99480012,128,"MacDougal St & Prince St",40.72710258,-74.00297088,78
"16",229,"Great Jones St",40.72743423,-73.99379025,128,"MacDougal St & Prince St",40.72710258,-74.00297088,59
"17",285,"Broadway & E 14 St",40.73454567,-73.99074142,128,"MacDougal St & Prince St",40.72710258,-74.00297088,58
"18",496,"E 16 St & 5 Ave",40.73726186,-73.99238967,128,"MacDougal St & Prince St",40.72710258,-74.00297088,59
"19",3664,"North Moore St & Greenwich St",40.72019521,-74.01030064,146,"Hudson St & Reade St",40.71625008,-74.0091059,127
"20",3435,"Grand St & Elizabeth St",40.718822,-73.99596,151,"Cleveland Pl & Spring St",40.72210379,-73.99724901,51
"21",285,"Broadway & E 14 St",40.73454567,-73.99074142,151,"Cleveland Pl & Spring St",40.72210379,-73.99724901,62
