"","start_id","start_name","start_latitude","start_longitude","end_id","end_name","end_latitude","end_longitude","n"
"52",326,"E 11 St & 1 Ave",40.72953837,-73.98426726,167,"E 39 St & 3 Ave",40.7489006,-73.97604882,11
"53",3459,"E 53 St & 3 Ave",40.75763228,-73.96930575,167,"E 39 St & 3 Ave",40.7489006,-73.97604882,11
"54",2023,"E 55 St & Lexington Ave",40.75968085,-73.97031366,167,"E 39 St & 3 Ave",40.7489006,-73.97604882,11
"55",3233,"E 48 St & 5 Ave",40.75724568,-73.97805914,167,"E 39 St & 3 Ave",40.7489006,-73.97604882,11
"56",458,"11 Ave & W 27 St",40.751396,-74.005226,167,"E 39 St & 3 Ave",40.7489006,-73.97604882,11
"57",265,"Stanton St & Chrystie St",40.72229346,-73.99147535,168,"W 18 St & 6 Ave",40.73971301,-73.99456405,11
"58",249,"Harrison St & Hudson St",40.71870987,-74.0090009,168,"W 18 St & 6 Ave",40.73971301,-73.99456405,11
"59",3236,"W 42 St & Dyer Ave",40.75898481,-73.99379969,168,"W 18 St & 6 Ave",40.73971301,-73.99456405,11
"60",3170,"W 84 St & Columbus Ave",40.78499979,-73.97283406,173,"Broadway & W 49 St",40.76068327,-73.98452729,11
"61",3160,"Central Park West & W 76 St",40.77896784,-73.97374737,173,"Broadway & W 49 St",40.76068327,-73.98452729,11
"62",3259,"9 Ave & W 28 St",40.74937024,-73.99923384,173,"Broadway & W 49 St",40.76068327,-73.98452729,11
"63",493,"W 45 St & 6 Ave",40.7568001,-73.98291153,173,"Broadway & W 49 St",40.76068327,-73.98452729,11
"64",442,"W 27 St & 7 Ave",40.746647,-73.993915,173,"Broadway & W 49 St",40.76068327,-73.98452729,11
"65",394,"E 9 St & Avenue C",40.72521311,-73.97768752,174,"E 25 St & 1 Ave",40.7381765,-73.97738662,11
"66",3701,"Cliff St & Fulton St (Old)",40.70831794,-74.00504082,174,"E 25 St & 1 Ave",40.7381765,-73.97738662,11
"67",477,"W 41 St & 8 Ave",40.75640548,-73.9900262,174,"E 25 St & 1 Ave",40.7381765,-73.97738662,11
"68",536,"1 Ave & E 30 St",40.74144387,-73.97536082,174,"E 25 St & 1 Ave",40.7381765,-73.97738662,11
"69",335,"Washington Pl & Broadway",40.72903917,-73.99404649,174,"E 25 St & 1 Ave",40.7381765,-73.97738662,11
"70",3712,"W 35 St & Dyer Ave",40.75469175,-73.99740189,195,"Liberty St & Broadway",40.70905623,-74.01043382,11
"71",462,"W 22 St & 10 Ave",40.74691959,-74.00451887,195,"Liberty St & Broadway",40.70905623,-74.01043382,11
"72",402,"Broadway & E 22 St",40.7403432,-73.98955109,195,"Liberty St & Broadway",40.70905623,-74.01043382,11
"73",127,"Barrow St & Hudson St",40.73172428,-74.00674436,195,"Liberty St & Broadway",40.70905623,-74.01043382,11
"74",307,"Canal St & Rutgers St",40.71427487,-73.98990025,195,"Liberty St & Broadway",40.70905623,-74.01043382,11
"75",325,"E 19 St & 3 Ave",40.73624527,-73.98473765,212,"W 16 St & The High Line",40.74334935,-74.00681753,11
"76",3641,"Broadway & W 25 St",40.74286877,-73.98918629,212,"W 16 St & The High Line",40.74334935,-74.00681753,11
"77",529,"W 42 St & 8 Ave",40.7575699,-73.99098507,212,"W 16 St & The High Line",40.74334935,-74.00681753,11
"78",297,"E 15 St & 3 Ave",40.734232,-73.986923,212,"W 16 St & The High Line",40.74334935,-74.00681753,11
"79",427,"Bus Slip & State St",40.701907,-74.013942,212,"W 16 St & The High Line",40.74334935,-74.00681753,11
"80",490,"8 Ave & W 33 St",40.751551,-73.993934,212,"W 16 St & The High Line",40.74334935,-74.00681753,11
"81",3331,"Riverside Dr & W 104 St",40.8013434,-73.97114574,212,"W 16 St & The High Line",40.74334935,-74.00681753,11
"82",3463,"E 16 St & Irving Pl",40.73536706,-73.98797393,223,"W 13 St & 7 Ave",40.73781509,-73.99994661,11
"83",523,"W 38 St & 8 Ave",40.75466591,-73.99138152,223,"W 13 St & 7 Ave",40.73781509,-73.99994661,11
"84",401,"Allen St & Rivington St",40.72019576,-73.98997825,223,"W 13 St & 7 Ave",40.73781509,-73.99994661,11
"85",540,"Lexington Ave & E 29 St",40.74311555,-73.98215353,223,"W 13 St & 7 Ave",40.73781509,-73.99994661,11
"86",403,"E 2 St & 2 Ave",40.72502876,-73.99069656,223,"W 13 St & 7 Ave",40.73781509,-73.99994661,11
"87",3467,"W Broadway & Spring Street",40.72494672,-74.00165856,223,"W 13 St & 7 Ave",40.73781509,-73.99994661,11
"88",335,"Washington Pl & Broadway",40.72903917,-73.99404649,223,"W 13 St & 7 Ave",40.73781509,-73.99994661,11
"89",3664,"North Moore St & Greenwich St",40.72019521,-74.01030064,224,"Spruce St & Nassau St",40.71146364,-74.00552427,11
"90",387,"Centre St & Chambers St",40.71273266,-74.0046073,224,"Spruce St & Nassau St",40.71146364,-74.00552427,11
"91",523,"W 38 St & 8 Ave",40.75466591,-73.99138152,228,"E 48 St & 3 Ave",40.7546011,-73.97187886,11
"92",164,"E 47 St & 2 Ave",40.75323098,-73.97032517,228,"E 48 St & 3 Ave",40.7546011,-73.97187886,11
"93",305,"E 58 St & 3 Ave",40.76095756,-73.96724467,228,"E 48 St & 3 Ave",40.7546011,-73.97187886,11
"94",514,"12 Ave & W 40 St",40.76087502,-74.00277668,228,"E 48 St & 3 Ave",40.7546011,-73.97187886,11
"95",528,"2 Ave & E 31 St",40.74290902,-73.97706058,228,"E 48 St & 3 Ave",40.7546011,-73.97187886,11
"96",359,"E 47 St & Park Ave",40.75510267,-73.97498696,228,"E 48 St & 3 Ave",40.7546011,-73.97187886,11
"97",328,"Watts St & Greenwich St",40.72405549,-74.00965965,229,"Great Jones St",40.72743423,-73.99379025,11
"98",279,"Peck Slip & Front St",40.707873,-74.00167,229,"Great Jones St",40.72743423,-73.99379025,11
"99",417,"Barclay St & Church St",40.71291224,-74.01020234,229,"Great Jones St",40.72743423,-73.99379025,11
"100",3664,"North Moore St & Greenwich St",40.72019521,-74.01030064,229,"Great Jones St",40.72743423,-73.99379025,11
